created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,field8,latitude,longitude,elevation,status
2023-02-01T08:38:09+01:00,1,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,-0.60699,-68.02087,,,,
2023-02-01T08:40:16+01:00,2,3.26237,0.01032,0.03367,2.28325,0.00545,0.01244,-0.24648,-67.70808,,,,
2023-02-01T08:42:18+01:00,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.13419,-67.37603,,,,
2023-02-01T08:44:24+01:00,4,0.00000,0.00000,0.00000,4.73097,0.02981,0.14102,0.49900,-67.05607,,,,
2023-02-01T08:46:27+01:00,5,4.73097,0.02006,0.09492,0.00000,0.00000,0.00000,0.87486,-66.72457,,,,
2023-02-01T08:48:32+01:00,6,3.26237,0.01519,0.04956,0.00000,0.00000,0.00000,1.24087,-66.39989,,,,
2023-02-01T08:50:34+01:00,7,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.61191,-66.06886,,,,
2023-02-01T08:52:37+01:00,8,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.97609,-65.74202,,,,
2023-02-01T08:54:39+01:00,9,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.33637,-65.41675,,,,
2023-02-01T08:56:42+01:00,10,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.69572,-65.09035,,,,
2023-02-01T08:58:44+01:00,11,0.00000,0.00000,0.00000,10.60429,0.03955,0.41940,3.05705,-64.76012,,,,
2023-02-01T09:00:49+01:00,12,0.00000,0.00000,0.00000,12.07236,0.02006,0.24222,3.41447,-64.43140,,,,
2023-02-01T09:02:52+01:00,13,0.00000,0.00000,0.00000,13.05101,4.08456,53.30762,3.77966,-64.09338,,,,
2023-02-01T09:04:58+01:00,14,12.56169,0.02006,0.25204,14.02961,4.37062,61.31805,4.13800,-63.75950,,,,
2023-02-01T09:07:01+01:00,15,5.22048,0.02006,0.10474,0.00000,0.00000,0.00000,4.50400,-63.41617,,,,
2023-02-01T09:09:08+01:00,16,13.05101,0.07852,1.02472,18.92193,4.44206,84.05243,4.86022,-63.07974,,,,
2023-02-01T09:11:11+01:00,17,11.09366,0.02006,0.22259,0.00000,0.00000,0.00000,5.22693,-62.73098,,,,
2023-02-01T09:13:16+01:00,18,0.00000,0.00000,0.00000,11.58301,4.69429,54.37407,5.58097,-62.39186,,,,
2023-02-01T09:15:26+01:00,19,17.94357,5.05065,90.62672,13.05101,4.79414,62.56839,5.93966,-62.04584,,,,
2023-02-01T09:17:34+01:00,20,12.07236,4.79890,57.93398,17.94357,4.54204,81.50047,6.31147,-61.68445,,,,
2023-02-01T09:19:43+01:00,21,15.49743,4.35632,67.51183,23.32402,4.06547,94.82322,6.67917,-61.32430,,,,
